序号,屏蔽字
Id,name
int,string
447,江沢民
448,江浙民
449,择民
450,则民
451,茳泽民
452,zemin
453,ze民
454,老江
455,老j
456,江x
457,江派
458,江zm
459,jzm
460,江蛤蟆
461,江某某
462,江贼
463,江氏集团
464,江绵恒
465,江绵康
466,王冶坪
467,江泽慧
468,平小邓
469,xiao平
470,邓xp
471,邓晓平
472,邓朴方
473,邓榕
474,邓质方
475,猫泽东
476,猫则东
477,chairmanmao
478,猫贼洞
479,毛zd
480,毛zx
481,z东
482,ze东
483,泽d
484,zedong
485,毛太祖
486,毛相
487,主席画像
488,改革历程
489,朱镕鸡
490,朱云来
491,李peng
492,里鹏
493,李月月鸟
494,李小鹏
495,李小琳
496,华主席
497,华国
498,国锋
499,国峰
500,锋同志
501,白春礼
502,蔡赴朝
503,蔡武
504,常万全
505,陈炳德
506,陈德铭
507,陈建国
508,陈绍基
509,陈同海
510,戴秉国
511,丁一平
512,杜德印
513,杜世成
514,傅锐
515,郭金龙
516,胡春华
517,耀邦
518,黄华华
519,黄丽满
520,黄兴国
521,贾廷安
522,靖志远
523,李春城
524,李建国
525,李沛瑶
526,李荣融
527,李学举
528,李源潮
529,栗智
530,廖锡龙
531,林树森
532,林炎志
533,林左鸣
534,令计划
535,柳斌杰
536,刘奇葆
537,刘志军
538,路甬祥
539,罗箭
540,吕祖善
541,马飚
542,马恺
543,孟建柱
544,欧广源
545,沈跃跃
546,宋平顺
547,粟戎生
548,苏树林
549,孙家正
550,铁凝
551,屠光绍
552,王东明
553,汪东兴
554,王鸿举
555,王沪宁
556,王洛林
557,王胜俊
558,王学军
559,王振华
560,吴定富
561,无官正
562,吴胜利
563,奚国华
564,许其亮
565,徐绍史
566,杨洁篪
567,由喜贵
568,于幼军
569,袁纯清
570,曾宪梓
571,曾荫权
572,张定发
573,张荣坤
574,张志国
575,赵洪祝
576,紫阳
577,周生贤
578,朱海仑
579,中纪委
580,主席像
581,大陆当局
582,中国当局
583,北京当局
